app_date,cred_score,device_cost,down_payment,payment_type,borrower_age,delinquency_90_days
2025-05-14,608,1509.67,164.93,Cash,34,Performing/paid off
2023-03-13,711,1043.6,65.0,Bank transfer,25,Performing/paid off
2023-08-20,742,917.39,266.68,Credit,35,90+ delinquent/default
2022-04-29,675,1205.55,278.79,Credit,18,90+ delinquent/default
2021-03-15,536,698.36,40.31,Cash,39,Performing/paid off
2021-03-07,612,1056.36,1.78,Credit,52,90+ delinquent/default
2023-12-02,731,1299.07,331.37,Credit,37,Performing/paid off
2024-11-11,664,1144.92,119.06,Credit,39,Performing/paid off
2024-03-20,665,1015.7,196.34,Cash,38,90+ delinquent/default
2025-07-10,731,1168.08,162.35,Bank transfer,27,Performing/paid off
2024-02-27,667,1029.19,143.4,Cash,39,Performing/paid off
2023-09-10,638,1153.1,225.46,Credit,34,Performing/paid off
2020-12-28,778,610.23,65.2,Cash,18,90+ delinquent/default
2020-02-10,617,529.64,81.65,Cash,49,90+ delinquent/default
2023-04-20,624,1024.71,148.85,Credit,18,90+ delinquent/default
2021-08-21,712,836.83,72.46,Cash,37,Performing/paid off
2023-02-01,578,811.96,30.79,Credit,23,Performing/paid off
2025-08-24,650,944.56,128.25,Cash,33,Performing/paid off
2021-01-21,753,909.04,211.29,Credit,28,Performing/paid off
2023-08-16,791,971.51,338.67,Credit,52,Performing/paid off
2023-07-11,642,1090.69,0.0,Bank transfer,18,90+ delinquent/default
2024-07-29,565,1049.11,262.62,Cash,35,Performing/paid off
2022-09-28,652,690.28,59.93,Credit,37,Performing/paid off
2022-01-12,623,777.42,141.52,Credit,37,90+ delinquent/default
2022-10-01,632,1041.2,20.86,Cash,25,Performing/paid off
2025-01-24,732,935.37,164.9,Credit,52,Performing/paid off
2025-05-04,587,775.39,211.44,Credit,36,Performing/paid off
2024-05-06,688,1183.93,305.35,Cash,43,Performing/paid off
2020-02-06,699,647.39,139.57,Cash,35,Performing/paid off
2021-04-12,583,812.07,131.0,Credit,35,90+ delinquent/default
2023-07-01,515,905.09,18.98,Credit,34,Performing/paid off
2021-08-21,625,770.26,181.21,Credit,34,Performing/paid off
2025-01-17,714,1180.8,267.0,Bank transfer,41,Performing/paid off
2024-08-26,555,1377.23,81.93,Credit,26,Performing/paid off
2024-01-31,577,614.82,91.85,Cash,27,Performing/paid off
2023-04-02,565,1026.21,19.31,Cash,22,90+ delinquent/default
2021-11-02,567,944.38,104.34,Credit,35,Performing/paid off
2024-04-03,626,1108.78,54.3,Credit,45,Performing/paid off
2025-01-22,670,917.5,77.91,Cash,18,90+ delinquent/default
2020-08-05,661,1153.78,138.38,Credit,21,90+ delinquent/default
2025-03-20,655,925.49,58.1,Cash,34,Performing/paid off
2022-03-01,643,1144.08,74.65,Credit,48,Performing/paid off
2020-05-27,667,554.71,8.35,Bank transfer,49,90+ delinquent/default
2024-06-01,703,839.36,92.52,Bank transfer,32,Performing/paid off
2021-02-08,722,583.29,277.42,Cash,57,Performing/paid off
2025-03-03,744,1163.98,153.83,Credit,39,Performing/paid off
2020-04-19,643,843.45,142.35,Credit,24,Performing/paid off
2023-05-18,668,787.52,222.92,Cash,31,Performing/paid off
2025-08-19,850,989.09,272.73,Credit,41,Performing/paid off
2023-06-18,784,1179.35,231.63,Cash,40,Performing/paid off
2022-06-29,608,947.64,0.0,Cash,32,90+ delinquent/default
2025-08-27,722,1030.72,170.63,Bank transfer,33,Performing/paid off
2025-03-09,678,1061.12,72.47,Credit,21,Performing/paid off
2021-11-22,672,840.63,28.02,Credit,18,Performing/paid off
2023-04-15,616,1007.75,111.72,Bank transfer,22,Performing/paid off
2023-12-24,722,962.77,269.27,Cash,24,Performing/paid off
2025-07-19,695,1075.51,193.54,Credit,39,Performing/paid off
2023-01-18,637,855.82,0.0,Credit,32,Performing/paid off
2025-07-15,722,1249.68,223.3,Cash,24,Performing/paid off
2023-06-27,594,1141.25,76.63,Cash,38,90+ delinquent/default
2022-11-14,723,792.61,171.94,Cash,22,Performing/paid off
2024-01-28,730,860.21,122.75,Cash,23,90+ delinquent/default
2023-10-24,661,1118.09,191.66,Credit,45,Performing/paid off
2021-03-15,662,946.33,0.0,Cash,52,Performing/paid off
2023-07-03,620,1124.1,93.68,Cash,40,Performing/paid off
2020-11-09,658,779.94,117.65,Credit,29,Performing/paid off
2023-03-27,772,1064.01,280.56,Credit,24,Performing/paid off
2020-10-27,699,688.67,116.86,Credit,28,Performing/paid off
2024-03-06,665,916.96,0.0,Credit,41,Performing/paid off
2022-07-10,704,1051.01,260.95,Credit,22,Performing/paid off
2020-11-26,638,563.26,96.52,Bank transfer,23,90+ delinquent/default
2024-05-22,676,865.84,108.02,Cash,52,Performing/paid off
2023-04-20,617,926.28,13.7,Bank transfer,34,90+ delinquent/default
2025-08-05,604,902.42,0.0,Cash,34,Performing/paid off
2025-06-18,732,1081.12,153.06,Credit,39,Performing/paid off
2025-05-01,661,1204.96,107.85,Bank transfer,31,Performing/paid off
2021-11-01,784,675.65,58.88,Credit,35,Performing/paid off
2025-04-01,631,1096.89,212.02,Bank transfer,45,Performing/paid off
2021-03-13,601,899.56,0.0,Credit,18,Performing/paid off
2022-10-25,705,915.98,185.04,Cash,18,90+ delinquent/default
2022-08-12,816,925.27,231.41,Cash,38,Performing/paid off
2022-11-17,531,1046.72,24.86,Credit,18,90+ delinquent/default
2023-08-13,666,898.03,261.95,Cash,36,Performing/paid off
2023-11-11,850,974.39,226.24,Credit,42,Performing/paid off
2020-06-11,675,871.61,0.0,Credit,26,Performing/paid off
2024-05-10,684,1072.7,172.27,Bank transfer,32,Performing/paid off
2025-02-06,581,1026.02,0.0,Cash,32,Performing/paid off
2021-04-04,676,787.22,142.7,Credit,47,Performing/paid off
2023-11-20,794,865.2,124.61,Credit,34,Performing/paid off
2020-05-31,659,836.75,163.13,Bank transfer,34,90+ delinquent/default
2020-11-15,668,582.59,299.04,Credit,29,Performing/paid off
2024-10-04,705,1302.1,91.82,Cash,35,90+ delinquent/default
2023-08-14,719,1012.47,177.92,Credit,35,Performing/paid off
2021-12-13,634,786.34,127.74,Credit,47,90+ delinquent/default
2021-02-19,789,718.04,160.25,Cash,36,Performing/paid off
2021-04-18,568,913.49,0.0,Credit,23,Performing/paid off
2023-11-12,669,803.27,90.75,Cash,56,Performing/paid off
2024-06-18,786,972.73,207.44,Cash,55,Performing/paid off
2023-07-25,581,970.43,62.91,Credit,48,Performing/paid off
2022-03-09,646,1045.87,89.91,Cash,23,Performing/paid off
2023-11-06,702,1066.0,186.11,Bank transfer,31,90+ delinquent/default
2023-05-14,810,1081.92,327.7,Credit,34,90+ delinquent/default
2021-04-12,618,1073.33,163.71,Credit,18,Performing/paid off
2023-12-02,672,978.88,172.48,Credit,39,Performing/paid off
2021-10-04,616,1048.32,22.72,Credit,18,90+ delinquent/default
2024-09-18,698,1240.68,116.04,Cash,32,90+ delinquent/default
2024-10-19,579,903.74,171.27,Credit,24,Performing/paid off
2020-07-02,749,1066.81,125.64,Credit,30,Performing/paid off
2025-03-02,624,904.89,201.62,Cash,49,Performing/paid off
2024-08-29,586,1032.76,0.0,Credit,19,Performing/paid off
2025-05-11,728,1119.98,194.05,Credit,36,Performing/paid off
2020-08-09,657,1221.67,202.71,Cash,37,90+ delinquent/default
2025-08-07,734,1016.22,225.95,Credit,39,Performing/paid off
2024-03-02,850,897.2,372.78,Credit,38,Performing/paid off
2022-12-17,734,1001.29,295.19,Credit,31,Performing/paid off
2024-05-14,693,1190.76,230.93,Credit,44,Performing/paid off
2022-06-23,653,605.24,124.41,Bank transfer,47,Performing/paid off
2022-05-27,720,807.95,183.33,Bank transfer,40,Performing/paid off
2021-05-24,731,788.93,228.7,Credit,55,Performing/paid off
2024-12-19,665,1058.71,128.73,Credit,29,90+ delinquent/default
2021-11-02,689,766.87,37.94,Bank transfer,27,90+ delinquent/default
2022-04-10,642,1111.12,204.46,Cash,30,90+ delinquent/default
2021-06-16,636,960.26,85.44,Credit,36,Performing/paid off
2024-01-07,652,870.32,78.43,Cash,30,Performing/paid off
2023-06-28,633,801.77,21.36,Credit,23,Performing/paid off
2021-07-29,611,682.72,45.92,Credit,32,Performing/paid off
2025-09-18,686,1059.57,169.35,Credit,40,Performing/paid off
2022-08-24,763,1235.93,153.85,Cash,36,Performing/paid off
2020-04-07,719,774.41,206.61,Credit,32,Performing/paid off
2021-03-27,670,807.22,95.64,Cash,50,Performing/paid off
2020-07-17,688,847.64,166.13,Credit,23,90+ delinquent/default
2021-01-17,806,885.17,406.33,Credit,33,Performing/paid off
2020-01-16,764,1078.96,162.47,Bank transfer,46,Performing/paid off
2024-12-09,812,1019.89,365.13,Cash,24,Performing/paid off
2020-03-30,713,651.22,9.18,Bank transfer,58,90+ delinquent/default
2024-11-07,749,970.78,161.94,Credit,20,Performing/paid off
2024-03-19,552,1151.44,44.08,Cash,26,Performing/paid off
2020-12-10,707,849.16,253.76,Cash,41,Performing/paid off
2024-05-06,641,1076.67,126.96,Credit,36,Performing/paid off
2020-09-25,637,1017.66,145.99,Credit,24,Performing/paid off
2020-01-02,637,826.09,0.0,Bank transfer,38,Performing/paid off
2025-06-14,452,846.49,168.43,Credit,37,Performing/paid off
2021-09-24,530,623.43,0.0,Cash,41,90+ delinquent/default
2022-04-17,722,1075.76,192.15,Credit,28,90+ delinquent/default
2021-11-06,732,930.15,158.66,Cash,25,Performing/paid off
2024-08-05,649,1141.38,100.83,Bank transfer,44,90+ delinquent/default
2025-06-08,751,991.41,275.01,Credit,39,Performing/paid off
2021-07-26,661,934.25,174.07,Credit,22,Performing/paid off
2020-09-17,482,706.91,4.44,Cash,37,90+ delinquent/default
2020-05-27,681,989.73,179.65,Cash,35,Performing/paid off
2025-02-24,675,1097.62,264.85,Cash,18,Performing/paid off
2023-09-19,761,728.03,110.37,Credit,18,Performing/paid off
2023-03-25,635,918.36,102.73,Credit,31,Performing/paid off
2024-05-04,605,997.42,101.78,Bank transfer,24,Performing/paid off
2023-05-19,734,1045.51,81.95,Credit,37,Performing/paid off
2023-07-28,559,968.0,46.97,Credit,35,Performing/paid off
2020-05-14,797,942.28,110.65,Credit,50,90+ delinquent/default
2023-04-25,627,866.75,142.2,Cash,44,Performing/paid off
2023-02-01,771,905.6,196.17,Credit,45,90+ delinquent/default
2021-12-11,657,972.76,94.11,Credit,34,90+ delinquent/default
2024-06-27,619,1103.28,9.55,Credit,39,Performing/paid off
2024-03-27,714,1032.01,254.75,Credit,18,Performing/paid off
2022-07-14,694,939.06,108.48,Cash,43,Performing/paid off
2020-02-13,756,775.8,179.81,Credit,34,Performing/paid off
2021-12-07,684,539.07,19.5,Credit,30,Performing/paid off
2020-04-03,595,933.94,220.6,Credit,39,Performing/paid off
2023-02-23,707,1138.37,197.89,Credit,39,90+ delinquent/default
2024-11-03,602,996.81,62.92,Bank transfer,27,Performing/paid off
2024-05-11,650,871.12,145.09,Credit,33,Performing/paid off
2020-05-23,660,850.96,119.46,Credit,41,Performing/paid off
2021-12-10,723,950.95,95.89,Credit,44,Performing/paid off
2020-02-01,746,1022.45,319.56,Credit,46,Performing/paid off
2024-10-15,697,900.33,114.08,Credit,30,90+ delinquent/default
2023-02-17,764,919.99,244.62,Credit,34,Performing/paid off
2025-05-17,565,1074.78,66.81,Credit,27,Performing/paid off
2023-04-01,617,1227.97,174.32,Cash,27,90+ delinquent/default
2022-10-07,626,1082.55,192.34,Credit,44,Performing/paid off
2023-05-05,689,869.3,114.77,Cash,28,Performing/paid off
2020-04-08,626,706.54,178.1,Credit,29,90+ delinquent/default
2024-02-11,657,850.61,202.87,Credit,32,Performing/paid off
2023-12-21,678,1047.22,207.15,Credit,32,Performing/paid off
2023-11-22,812,1001.43,281.8,Credit,45,Performing/paid off
2020-07-25,702,998.04,74.65,Credit,34,Performing/paid off
2022-07-15,724,841.34,145.86,Credit,27,Performing/paid off
2020-12-27,674,714.91,110.64,Cash,39,Performing/paid off
2022-02-27,729,960.2,243.72,Credit,46,Performing/paid off
2021-03-26,691,896.96,144.05,Cash,46,Performing/paid off
2025-06-15,562,858.8,5.11,Cash,26,90+ delinquent/default
2023-05-03,616,792.41,117.11,Cash,33,90+ delinquent/default
2025-05-12,757,1115.07,338.86,Credit,33,Performing/paid off
2023-12-27,708,897.3,156.39,Bank transfer,18,Performing/paid off
2021-06-11,672,850.78,265.95,Credit,20,90+ delinquent/default
2024-04-27,685,836.36,145.36,Credit,51,Performing/paid off
2025-06-03,683,1103.72,138.01,Credit,21,Performing/paid off
2025-03-14,631,1074.96,146.69,Credit,37,Performing/paid off
2025-09-25,642,1014.54,113.92,Cash,28,Performing/paid off
2024-03-20,800,1029.97,314.85,Credit,43,Performing/paid off
2021-03-09,727,866.45,160.6,Credit,18,90+ delinquent/default
2021-12-21,621,712.17,153.0,Credit,25,Performing/paid off
2021-03-22,592,728.82,81.76,Credit,38,Performing/paid off
2020-05-06,802,595.21,67.45,Credit,24,Performing/paid off
2021-02-06,656,885.66,36.53,Credit,28,Performing/paid off
2025-03-05,566,1206.93,44.82,Cash,43,Performing/paid off
2022-04-13,643,963.53,252.2,Cash,45,90+ delinquent/default
2020-10-03,649,539.0,119.11,Cash,40,Performing/paid off
2022-11-02,652,845.56,0.0,Credit,35,Performing/paid off
2022-07-27,703,1003.33,142.77,Credit,49,Performing/paid off
2025-04-23,752,849.89,126.52,Credit,44,90+ delinquent/default
2021-07-06,728,893.5,196.29,Credit,24,Performing/paid off
2020-07-25,663,1050.42,80.97,Cash,18,90+ delinquent/default
2021-07-13,748,975.77,0.0,Credit,41,Performing/paid off
2025-08-01,709,1130.1,144.44,Credit,24,Performing/paid off
2025-05-10,661,1241.81,340.29,Cash,41,Performing/paid off
2022-11-22,577,1256.32,0.28,Cash,28,Performing/paid off
2023-10-15,692,1040.67,131.78,Credit,35,Performing/paid off
2022-07-18,634,1173.89,66.3,Credit,33,90+ delinquent/default
2022-05-18,699,843.3,148.68,Cash,23,90+ delinquent/default
2021-06-03,548,786.63,258.19,Cash,18,Performing/paid off
2024-01-31,656,1084.02,73.43,Credit,24,Performing/paid off
2023-03-08,575,1139.95,14.89,Bank transfer,28,Performing/paid off
2023-09-20,639,868.43,89.7,Credit,28,Performing/paid off
2020-11-27,654,841.69,170.62,Credit,54,90+ delinquent/default
2023-10-16,615,804.65,0.0,Credit,31,90+ delinquent/default
2022-12-21,764,1155.65,106.34,Credit,34,Performing/paid off
2020-03-08,617,861.56,85.43,Credit,43,Performing/paid off
2020-06-14,604,900.26,97.72,Cash,57,Performing/paid off
2022-12-12,707,1196.56,274.06,Cash,21,Performing/paid off
2023-02-01,508,858.79,0.0,Credit,41,Performing/paid off
2024-07-24,682,1014.91,318.49,Cash,37,Performing/paid off
2021-06-14,576,1102.69,99.7,Cash,50,Performing/paid off
2024-01-28,708,970.68,188.44,Credit,27,90+ delinquent/default
2022-08-15,736,1044.38,216.81,Credit,44,Performing/paid off
2020-10-11,623,798.31,102.51,Cash,23,90+ delinquent/default
2022-09-26,620,725.38,132.67,Credit,41,Performing/paid off
2024-08-25,740,1451.88,251.38,Credit,18,Performing/paid off
2023-05-25,768,857.9,332.76,Bank transfer,34,90+ delinquent/default
2022-05-03,654,917.26,204.43,Credit,18,Performing/paid off
2024-07-22,670,1075.99,150.8,Cash,29,Performing/paid off
2020-08-20,716,644.47,172.72,Cash,39,Performing/paid off
2024-07-28,743,992.53,226.08,Credit,39,Performing/paid off
2023-09-26,551,1115.62,74.35,Credit,32,Performing/paid off
2020-02-21,635,663.91,140.65,Credit,57,Performing/paid off
2020-03-24,664,934.85,215.13,Credit,46,Performing/paid off
2024-12-20,704,1350.19,245.89,Bank transfer,39,Performing/paid off
2025-08-29,744,1086.41,256.02,Credit,38,Performing/paid off
2021-03-24,588,724.64,44.15,Credit,40,Performing/paid off
2023-03-08,646,1132.21,26.43,Cash,38,Performing/paid off
2023-03-22,635,1059.1,0.0,Cash,38,Performing/paid off
2021-11-24,519,908.33,10.78,Cash,29,Performing/paid off
2025-01-31,629,967.66,159.98,Credit,18,90+ delinquent/default
2023-12-29,703,1043.1,260.01,Cash,34,90+ delinquent/default
2020-10-30,670,601.14,138.12,Cash,35,90+ delinquent/default
2020-03-16,707,887.68,212.57,Credit,46,Performing/paid off
2020-07-24,716,984.95,92.86,Cash,40,Performing/paid off
2022-09-23,608,892.56,147.73,Credit,57,90+ delinquent/default
2023-11-04,710,1194.54,229.99,Credit,38,Performing/paid off
2025-08-10,680,926.8,151.72,Credit,22,Performing/paid off
2024-07-17,715,1150.48,303.24,Cash,41,Performing/paid off
2022-01-08,612,720.35,103.43,Bank transfer,44,Performing/paid off
2021-08-17,633,805.2,0.0,Credit,43,Performing/paid off
2020-11-16,628,683.37,111.72,Credit,30,Performing/paid off
2024-11-26,793,1082.08,451.37,Cash,37,Performing/paid off
2024-03-09,622,923.55,57.51,Credit,31,Performing/paid off
2020-07-11,650,816.65,17.2,Bank transfer,39,Performing/paid off
2021-04-08,738,890.78,185.32,Bank transfer,23,Performing/paid off
2023-03-09,728,1145.33,240.46,Credit,38,Performing/paid off
2020-11-03,850,951.11,362.99,Credit,18,Performing/paid off
2024-02-15,702,887.77,138.13,Credit,25,90+ delinquent/default
2020-12-30,695,845.27,124.8,Credit,34,90+ delinquent/default
2021-02-26,646,903.33,139.18,Credit,26,Performing/paid off
2021-07-04,760,988.8,175.58,Cash,31,Performing/paid off
2024-09-29,733,1077.65,197.66,Credit,25,90+ delinquent/default
2022-01-10,638,827.29,119.2,Credit,47,90+ delinquent/default
2020-07-08,744,678.88,31.07,Bank transfer,45,Performing/paid off
2020-11-10,600,832.09,7.94,Credit,46,Performing/paid off
2021-03-29,600,667.63,10.78,Cash,52,90+ delinquent/default
2022-08-21,821,1167.5,389.02,Credit,31,90+ delinquent/default
2025-07-20,697,974.6,130.04,Credit,20,Performing/paid off
2022-11-14,585,1034.26,43.44,Bank transfer,54,90+ delinquent/default
2023-07-01,673,1117.14,133.28,Credit,26,90+ delinquent/default
2021-09-14,639,814.61,86.5,Credit,29,Performing/paid off
2024-01-09,572,889.64,183.26,Cash,30,90+ delinquent/default
2022-12-04,600,913.21,39.44,Cash,31,Performing/paid off
2023-07-25,553,1250.15,0.0,Credit,19,Performing/paid off
2020-12-17,584,838.47,55.07,Cash,26,Performing/paid off
2025-09-23,686,1049.62,381.01,Cash,44,Performing/paid off
2021-05-04,650,1032.49,202.96,Cash,28,Performing/paid off
2020-02-03,771,616.96,203.15,Cash,48,Performing/paid off
2020-03-12,768,760.32,268.46,Credit,33,Performing/paid off
2024-10-24,662,885.67,266.62,Credit,29,90+ delinquent/default
2023-11-22,653,886.19,176.39,Cash,27,90+ delinquent/default
2020-12-10,662,827.37,0.0,Cash,39,90+ delinquent/default
2024-02-23,645,1238.55,254.86,Credit,35,Performing/paid off
2021-07-19,735,665.4,255.8,Credit,18,Performing/paid off
2024-09-11,623,1082.33,227.48,Bank transfer,34,Performing/paid off
2021-02-04,630,881.94,46.92,Cash,51,Performing/paid off
2022-10-14,629,826.25,43.49,Cash,33,90+ delinquent/default
2021-10-11,661,676.44,0.0,Bank transfer,30,Performing/paid off
2021-11-09,657,726.81,59.68,Cash,46,90+ delinquent/default
2024-08-29,683,724.46,100.12,Bank transfer,36,Performing/paid off
2021-11-18,640,959.17,175.55,Cash,40,Performing/paid off
2020-11-05,645,618.02,63.74,Credit,26,90+ delinquent/default
2021-08-14,618,1071.94,0.0,Bank transfer,35,Performing/paid off
2022-02-02,532,667.33,47.55,Cash,30,Performing/paid off
2023-11-08,589,934.0,0.0,Cash,41,Performing/paid off
2025-06-14,704,1147.22,85.76,Bank transfer,28,Performing/paid off
2023-06-03,575,706.67,0.0,Credit,61,Performing/paid off
2025-05-09,538,1105.37,0.0,Credit,18,Performing/paid off
2022-09-03,749,846.01,233.39,Credit,18,Performing/paid off
2023-11-28,716,1004.39,135.18,Credit,19,Performing/paid off
2024-09-13,505,1198.01,61.87,Cash,49,Performing/paid off
2020-04-21,776,1043.0,326.5,Bank transfer,38,90+ delinquent/default
2025-07-03,753,1039.21,255.84,Credit,37,Performing/paid off
2022-09-13,681,768.92,161.14,Credit,27,Performing/paid off
2023-06-11,678,814.24,49.99,Cash,38,90+ delinquent/default
2021-01-29,671,907.76,53.45,Credit,48,90+ delinquent/default
2021-03-06,695,849.69,164.92,Credit,31,Performing/paid off
2024-12-12,701,969.83,264.3,Credit,49,90+ delinquent/default
2023-07-11,639,1067.34,196.76,Credit,34,Performing/paid off
2023-12-05,634,774.83,225.51,Cash,36,90+ delinquent/default
2020-03-23,640,810.46,191.59,Credit,35,Performing/paid off
2023-06-09,687,999.64,150.68,Bank transfer,20,90+ delinquent/default
2021-02-21,616,1076.45,19.91,Credit,32,90+ delinquent/default
2025-01-21,744,1125.54,306.34,Cash,27,Performing/paid off
2025-04-23,735,969.27,209.74,Credit,34,Performing/paid off
2023-11-19,684,1045.41,172.89,Credit,37,Performing/paid off
2021-10-01,572,679.86,101.34,Credit,21,Performing/paid off
2023-03-06,574,981.17,75.55,Credit,31,Performing/paid off
2020-12-15,765,896.46,95.1,Credit,27,Performing/paid off
2020-12-02,737,850.96,160.34,Credit,28,Performing/paid off
2025-04-29,513,1077.03,65.38,Cash,34,90+ delinquent/default
2024-01-07,748,913.54,30.14,Credit,21,Performing/paid off
2020-11-11,694,885.7,131.65,Credit,29,Performing/paid off
2020-04-26,644,623.39,8.01,Credit,32,90+ delinquent/default
2020-08-26,519,664.86,59.2,Credit,54,90+ delinquent/default
2024-02-08,599,1128.11,214.94,Cash,31,90+ delinquent/default
2024-11-06,652,1560.38,149.27,Credit,32,Performing/paid off
2020-01-30,744,920.51,118.7,Credit,33,Performing/paid off
2022-01-10,666,952.96,123.52,Credit,42,Performing/paid off
2021-02-11,688,1031.58,55.62,Bank transfer,38,Performing/paid off
2020-06-16,720,996.09,254.49,Cash,45,Performing/paid off
2023-01-01,676,654.27,182.55,Credit,42,90+ delinquent/default
2024-10-10,705,825.55,99.93,Credit,36,Performing/paid off
2022-07-14,661,855.69,48.79,Credit,34,Performing/paid off
2022-06-07,729,1077.54,66.2,Credit,18,Performing/paid off
2021-11-29,624,1115.53,57.33,Credit,44,Performing/paid off
2023-12-07,757,1151.48,194.88,Cash,42,90+ delinquent/default
2025-04-16,655,916.82,182.22,Credit,27,90+ delinquent/default
2020-12-29,637,631.49,0.0,Cash,42,90+ delinquent/default
2023-09-18,660,959.04,129.45,Credit,59,Performing/paid off
2025-06-12,683,1043.96,89.81,Cash,49,Performing/paid off
2022-10-03,557,937.18,87.07,Bank transfer,22,90+ delinquent/default
2022-02-22,532,987.52,33.9,Bank transfer,52,Performing/paid off
2021-12-25,685,859.99,123.14,Credit,36,Performing/paid off
2020-04-14,762,944.56,289.8,Credit,32,Performing/paid off
2024-09-07,683,1108.1,221.25,Credit,18,90+ delinquent/default
2022-10-12,668,922.53,173.78,Credit,18,Performing/paid off
2022-04-09,614,1027.53,202.4,Bank transfer,48,Performing/paid off
2024-06-13,737,1058.18,53.85,Credit,34,Performing/paid off
2020-12-11,533,868.86,115.91,Bank transfer,31,Performing/paid off
2021-07-03,733,939.47,104.82,Credit,21,Performing/paid off
2021-03-20,531,746.6,29.44,Cash,50,Performing/paid off
2024-03-16,755,1136.18,211.24,Credit,25,Performing/paid off
2021-07-17,718,950.48,115.93,Cash,41,Performing/paid off
2024-07-21,744,984.51,310.99,Bank transfer,18,Performing/paid off
2022-11-27,699,1056.47,66.2,Cash,32,Performing/paid off
2022-08-25,493,698.17,72.94,Credit,33,Performing/paid off
2021-01-18,751,688.49,163.75,Credit,52,Performing/paid off
2021-10-05,577,957.23,10.0,Credit,35,Performing/paid off
2024-04-06,643,1201.6,128.81,Cash,41,90+ delinquent/default
2021-06-09,673,756.88,209.89,Cash,39,Performing/paid off
2022-09-17,760,1189.8,152.56,Credit,34,Performing/paid off
2021-02-07,680,947.63,263.78,Bank transfer,44,90+ delinquent/default
2025-09-05,640,994.57,238.59,Cash,31,Performing/paid off
2021-12-10,738,917.23,184.63,Cash,31,Performing/paid off
2024-12-04,644,935.44,117.87,Cash,27,90+ delinquent/default
2022-01-27,724,768.22,10.17,Credit,22,Performing/paid off
2024-02-06,523,939.68,44.71,Cash,32,90+ delinquent/default
2022-05-24,659,916.15,89.62,Credit,31,Performing/paid off
2020-10-06,702,824.13,90.45,Credit,33,Performing/paid off
2020-05-23,619,992.88,93.01,Credit,34,Performing/paid off
2025-06-28,647,684.9,261.04,Cash,39,Performing/paid off
2021-01-09,650,917.82,124.63,Cash,52,Performing/paid off
2022-05-14,604,947.84,0.0,Cash,54,Performing/paid off
2024-05-19,699,1067.35,147.43,Cash,52,90+ delinquent/default
2024-12-05,724,966.68,139.07,Credit,28,Performing/paid off
2022-12-27,629,1199.8,121.21,Credit,33,Performing/paid off
2023-09-01,698,979.78,145.17,Credit,37,Performing/paid off
2024-05-10,640,1179.98,279.78,Credit,29,Performing/paid off
2024-10-12,743,1055.54,209.0,Cash,42,Performing/paid off
2025-08-19,551,950.79,23.04,Cash,33,Performing/paid off
2022-09-22,667,635.48,66.35,Credit,30,Performing/paid off
2024-07-15,759,1096.66,220.69,Credit,22,Performing/paid off
2020-04-15,781,620.69,123.7,Bank transfer,34,90+ delinquent/default
2022-02-16,739,771.89,265.99,Cash,41,Performing/paid off
2020-01-19,758,802.92,197.48,Credit,44,Performing/paid off
2021-12-03,620,890.26,171.0,Credit,19,90+ delinquent/default
2021-07-20,627,859.65,61.8,Cash,42,90+ delinquent/default
2024-04-06,742,991.87,203.52,Bank transfer,27,90+ delinquent/default
